Ne,generation
14448,64606
14448,58628
14068,53667
14068,49426
14464,45721
14464,42431
15208,39472
15208,36784
16256,34321
16256,32048
17618,29939
17618,27970
19347,26125
19347,24388
21534,22748
21534,21195
24236,19719
24236,18314
27367,16973
27367,15690
30416,14461
30416,13281
32060,12146
32060,11053
31284,10000
29404,8983
26686,7999
23261,7048
18990,6126
14001,5232
9115,4365
7477,3530
5791,3285
5791,3050
4670,2827
4670,2613
3841,2409
3841,2212
3372,2023
3372,1841
3287,1666
3359,1496
3570,1332
4095,1174
4713,1020
5661,872
7540,727
11375,587
14310,450
13292,317
13372,208
